timestamp,temperature,humidity,windSpeed,hour,Cluster,season_fall,season_spring,season_summer,season_winter,demand,demand_next_24h
2018-07-03 00:00:00,83.45666666666666,0.5833333333333334,6.8,0.0,1.0,0.0,0.0,1.0,0.0,8591.0,9064.333333333334
2018-07-03 01:00:00,81.74333333333333,0.6233333333333334,5.6066666666666665,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,8029.0,9507.666666666666
2018-07-03 02:00:00,79.28666666666668,0.6866666666666666,5.486666666666667,2.0,0.3333333333333333,0.0,0.0,1.0,0.0,7646.666666666667,9849.0
2018-07-03 03:00:00,77.90333333333332,0.7166666666666667,4.403333333333333,3.0,0.3333333333333333,0.0,0.0,1.0,0.0,7427.0,10163.0
2018-07-03 04:00:00,76.69333333333333,0.7533333333333333,4.93,4.0,0.0,0.0,0.0,1.0,0.0,7414.0,10396.0
2018-07-03 05:00:00,75.80666666666666,0.7866666666666666,4.659999999999999,5.0,0.0,0.0,0.0,1.0,0.0,7614.333333333333,10577.666666666666
2018-07-03 06:00:00,74.61666666666667,0.8166666666666668,4.256666666666667,6.0,0.0,0.0,0.0,1.0,0.0,8002.666666666667,10782.0
2018-07-03 07:00:00,73.82,0.8533333333333334,4.046666666666667,7.0,0.0,0.0,0.0,1.0,0.0,8509.333333333334,10839.666666666666
2018-07-03 08:00:00,73.22,0.86,4.286666666666666,8.0,0.0,0.0,0.0,1.0,0.0,9064.333333333334,10883.666666666666
2018-07-03 09:00:00,72.97666666666667,0.8633333333333333,3.97,9.0,0.0,0.0,0.0,1.0,0.0,9507.666666666666,10887.0
2018-07-03 10:00:00,72.77,0.8633333333333333,2.316666666666667,10.0,0.0,0.0,0.0,1.0,0.0,9849.0,10794.666666666666
2018-07-03 11:00:00,73.25666666666667,0.8766666666666666,2.763333333333333,11.0,0.0,0.0,0.0,1.0,0.0,10163.0,10450.0
2018-07-03 12:00:00,75.12333333333333,0.8366666666666666,1.9433333333333334,12.0,0.0,0.0,0.0,1.0,0.0,10396.0,10008.333333333334
2018-07-03 13:00:00,77.35666666666667,0.7766666666666667,1.71,13.0,0.0,0.0,0.0,1.0,0.0,10577.666666666666,9701.0
2018-07-03 14:00:00,79.21666666666667,0.7366666666666667,2.7733333333333334,14.0,0.0,0.0,0.0,1.0,0.0,10782.0,9386.0
2018-07-03 15:00:00,80.92333333333333,0.6900000000000001,3.0533333333333332,15.0,0.3333333333333333,0.0,0.0,1.0,0.0,10839.666666666666,8847.333333333334
2018-07-03 16:00:00,82.55333333333334,0.6533333333333333,5.646666666666667,16.0,0.6666666666666666,0.0,0.0,1.0,0.0,10883.666666666666,8309.333333333334
2018-07-03 17:00:00,84.40333333333334,0.6033333333333334,4.576666666666667,17.0,1.0,0.0,0.0,1.0,0.0,10887.0,7826.333333333333
2018-07-03 18:00:00,82.86,0.6333333333333333,6.52,18.0,1.3333333333333333,0.0,0.0,1.0,0.0,10794.666666666666,7507.333333333333
2018-07-03 19:00:00,82.43,0.6333333333333333,6.03,19.0,0.6666666666666666,0.0,0.0,1.0,0.0,10450.0,7269.0
2018-07-03 20:00:00,84.11666666666667,0.5933333333333334,5.3566666666666665,20.0,0.6666666666666666,0.0,0.0,1.0,0.0,10008.333333333334,7190.666666666667
2018-07-03 21:00:00,83.79666666666667,0.5933333333333334,6.03,21.0,0.6666666666666666,0.0,0.0,1.0,0.0,9701.0,7259.0
2018-07-03 22:00:00,81.06666666666666,0.6466666666666666,7.096666666666667,22.0,0.6666666666666666,0.0,0.0,1.0,0.0,9386.0,7384.666666666667
2018-07-03 23:00:00,77.76333333333334,0.7000000000000001,7.286666666666666,23.0,0.3333333333333333,0.0,0.0,1.0,0.0,8847.333333333334,7555.333333333333
2018-07-04 00:00:00,76.39,0.7333333333333334,5.376666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,8309.333333333334,7799.333333333333
2018-07-04 01:00:00,75.86666666666667,0.7600000000000001,4.17,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,7826.333333333333,8094.666666666667
2018-07-04 02:00:00,75.22333333333334,0.7833333333333333,3.51,2.0,0.3333333333333333,0.0,0.0,1.0,0.0,7507.333333333333,8417.666666666666
2018-07-04 03:00:00,74.44333333333333,0.7999999999999999,4.526666666666666,3.0,0.3333333333333333,0.0,0.0,1.0,0.0,7269.0,8753.0
2018-07-04 04:00:00,73.28333333333335,0.8266666666666667,3.526666666666667,4.0,0.0,0.0,0.0,1.0,0.0,7190.666666666667,9078.333333333334
2018-07-04 05:00:00,72.79333333333334,0.8433333333333334,3.853333333333333,5.0,0.0,0.0,0.0,1.0,0.0,7259.0,9331.666666666666
2018-07-04 06:00:00,71.60333333333334,0.8733333333333334,3.7133333333333334,6.0,0.0,0.0,0.0,1.0,0.0,7384.666666666667,9492.0
2018-07-04 07:00:00,71.29,0.8766666666666666,2.6933333333333334,7.0,0.0,0.0,0.0,1.0,0.0,7555.333333333333,9599.0
2018-07-04 08:00:00,71.24666666666667,0.8766666666666666,2.1233333333333335,8.0,0.0,0.0,0.0,1.0,0.0,7799.333333333333,9648.333333333334
2018-07-04 09:00:00,71.17666666666666,0.8833333333333334,2.013333333333333,9.0,0.0,0.0,0.0,1.0,0.0,8094.666666666667,9721.333333333334
2018-07-04 10:00:00,71.49666666666667,0.8733333333333334,1.9733333333333334,10.0,0.0,0.0,0.0,1.0,0.0,8417.666666666666,9742.0
2018-07-04 11:00:00,72.08,0.8666666666666667,1.7833333333333332,11.0,0.0,0.0,0.0,1.0,0.0,8753.0,9522.666666666666
2018-07-04 12:00:00,73.17,0.8433333333333334,2.3733333333333335,12.0,0.0,0.0,0.0,1.0,0.0,9078.333333333334,9150.333333333334
2018-07-04 13:00:00,73.98333333333333,0.82,2.296666666666667,13.0,0.0,0.0,0.0,1.0,0.0,9331.666666666666,8914.0
2018-07-04 14:00:00,75.33999999999999,0.77,2.513333333333333,14.0,0.0,0.0,0.0,1.0,0.0,9492.0,8681.666666666666
2018-07-04 15:00:00,77.19,0.7166666666666667,3.5666666666666664,15.0,0.0,0.0,0.0,1.0,0.0,9599.0,8442.333333333334
2018-07-04 16:00:00,79.43,0.6533333333333333,3.9,16.0,0.3333333333333333,0.0,0.0,1.0,0.0,9648.333333333334,8060.666666666667
